COSTS:
V 01 = 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
V 02 = 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
V 03 = 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 
V 04 = 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 
V 05 = 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
V 06 = 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 
V 07 = 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
V 08 = 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
V 09 = 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
V 10 = 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
V 11 = 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
U 12 = 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
U 13 = 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 
U 14 = 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 
U 15 = 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 
U 16 = 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 
U 17 = 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 
U 18 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 
U 19 = 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 
U 20 = 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 
U 21 = 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 
U 22 = 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 

Vertice Comparison

Vertex    V1       V6
['U3', 'V3'] --> ['V2', 'V4', 'V7', 'V10']
['U4', 'V4'] --> ['V3', 'V5', 'V8', 'V11']
['U5', 'V5'] --> ['V1', 'V4', 'V6', 'V9']
['U6', 'V6'] --> ['V2', 'V5', 'V7', 'V10']
['U7', 'V7'] --> ['V3', 'V6', 'V8', 'V11']
['U8', 'V8'] --> ['V1', 'V4', 'V7', 'V9']
['U9', 'V9'] --> ['V2', 'V5', 'V8', 'V10']
['U10', 'V10'] --> ['V3', 'V6', 'V9', 'V11']
['U11', 'V11'] --> ['V1', 'V4', 'V7', 'V10']

['U1', 'V1'] --> ['V2', 'V5', 'V8', 'V11']
['U2', 'V2'] --> ['V1', 'V3', 'V6', 'V9']
['U3', 'V3'] --> ['V2', 'V4', 'V7', 'V10']
['U4', 'V4'] --> ['V3', 'V5', 'V8', 'V11']
['U5', 'V5'] --> ['V1', 'V4', 'V6', 'V9']
['U6', 'V6'] --> ['V2', 'V5', 'V7', 'V10']
['U7', 'V7'] --> ['V3', 'V6', 'V8', 'V11']
['U8', 'V8'] --> ['V1', 'V4', 'V7', 'V9']
['U9', 'V9'] --> ['V2', 'V5', 'V8', 'V10']
['U10', 'V10'] --> ['V3', 'V6', 'V9', 'V11']
['U11', 'V11'] --> ['V1', 'V4', 'V7', 'V10']

Nodes with diff costs: 
['V1', 'V6'] --> ['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V10', 'V11', 'U1', 'U2', 'U3', 'U4', 'U5', 'U6']
['V2', 'V7'] --> ['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V11', 'U2', 'U3', 'U4', 'U5', 'U6', 'U7']
['V3', 'V8'] --> ['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'U3', 'U4', 'U5', 'U6', 'U7', 'U8']
['V4', 'V9'] --> ['V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'U4', 'U5', 'U6', 'U7', 'U8', 'U9']
['V5', 'V10'] --> ['V1', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'U5', 'U6', 'U7', 'U8', 'U9', 'U10']
['V6', 'V11'] --> ['V1', 'V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'U6', 'U7', 'U8', 'U9', 'U10', 'U11']
['V7', 'V1'] --> ['V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'U1', 'U7', 'U8', 'U9', 'U10', 'U11']
['V8', 'V2'] --> ['V1', 'V2', 'V3', 'V4', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'U1', 'U2', 'U8', 'U9', 'U10', 'U11']
['V9', 'V3'] --> ['V1', 'V2', 'V3', 'V4', 'V5', 'V7', 'V8', 'V9', 'V10', 'V11', 'U1', 'U2', 'U3', 'U9', 'U10', 'U11']
['V10', 'V4'] --> ['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V8', 'V9', 'V10', 'V11', 'U1', 'U2', 'U3', 'U4', 'U10', 'U11']
['V11', 'V5'] --> ['V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V9', 'V10', 'V11', 'U1', 'U2', 'U3', 'U4', 'U5', 'U11']

['U1', 'V1'] --> ['V1', 'V3', 'V4', 'V6', 'V7', 'V9', 'V10', 'U1', 'U2', 'U3', 'U4', 'U5', 'U6', 'U7', 'U8', 'U9', 'U10', 'U11']
['U2', 'V2'] --> ['V2', 'V4', 'V5', 'V7', 'V8', 'V10', 'V11', 'U1', 'U2', 'U3', 'U4', 'U5', 'U6', 'U7', 'U8', 'U9', 'U10', 'U11']
['U3', 'V3'] --> ['V1', 'V3', 'V5', 'V6', 'V8', 'V9', 'V11', 'U1', 'U2', 'U3', 'U4', 'U5', 'U6', 'U7', 'U8', 'U9', 'U10', 'U11']
['U4', 'V4'] --> ['V1', 'V2', 'V4', 'V6', 'V7', 'V9', 'V10', 'U1', 'U2', 'U3', 'U4', 'U5', 'U6', 'U7', 'U8', 'U9', 'U10', 'U11']
['U5', 'V5'] --> ['V2', 'V3', 'V5', 'V7', 'V8', 'V10', 'V11', 'U1', 'U2', 'U3', 'U4', 'U5', 'U6', 'U7', 'U8', 'U9', 'U10', 'U11']
['U6', 'V6'] --> ['V1', 'V3', 'V4', 'V6', 'V8', 'V9', 'V11', 'U1', 'U2', 'U3', 'U4', 'U5', 'U6', 'U7', 'U8', 'U9', 'U10', 'U11']
['U7', 'V7'] --> ['V1', 'V2', 'V4', 'V5', 'V7', 'V9', 'V10', 'U1', 'U2', 'U3', 'U4', 'U5', 'U6', 'U7', 'U8', 'U9', 'U10', 'U11']
